Order: reason?,,line,class,Tony - type,Line,"Adult/
Larval",Main annotator,Lab,Quality,Sex difference,DOI to cite,First author(s) & year,Janelia Robot ID,Cell types,EM Body IDs,Alias,Genotype
,MB485B,MB485B,mixed,various,MB485B,Adult,Yoshi Aso,Aso,2,N,10.1101/2023.09.15.557808,Shuai; 2023,2501827,"DL3_lPN, VM4_lvPN","1609542060, 1609883245, 1640568102
726207450, 1850024931",GMR_48H12_BB_21-x-GMR_37E06_AV_01,w[1118]; P{y[+t7.7] w[+mC]=R48H12-p65.AD}attP40/CyO; P{y[+t7.7] w[+mC]=R37E06-GAL4.DBD}attP2
,OL0022B,OL0022B,local/asc,? sparse,OL0022B,Adult,Aljoscha Nern,Rubin,1,N,10.7554/eLife.21022,"Wu, Nern; 2016",2135391,"LC10, LC10a, LC10d",,GMR_35D04_XA_21-x-GMR_91B01_XD_01,w; 35D04-p65ADZp in attP40; 91B01-ZpGdbd in attP2
,OL0027B,OL0027B,leg MN,?,OL0027B,Adult,Aljoscha Nern,Rubin,1,N,10.7554/eLife.21022,"Wu, Nern; 2016",2135396,LC13,,GMR_14A11_XA_21-x-GMR_50C10_XD_01,w; 14A11-p65ADZp in attP40/CyO; 50C10-ZpGdbd in attP2
,SS00313,SS00313,mixed,"23B, 20A",SS00313,Adult,Aljoscha Nern,Rubin,2,N,10.1016/j.neuron.2017.03.010,Strother; 2017,2502520,Tm3,,GMR_38C11-x-GMR_59C10,w; 38C11-p65ADZp in attP40/CyO; 59C10-ZpGdbd in attP2
,SS00320,SS00320,inter,various,SS00320,Adult,Aljoscha Nern,Rubin,2,N,10.7554/eLife.50901,"Davis, Nern; 2020",2502527,Tm4,,GMR_53C02-x-GMR_60H04,w; 53C02-p65ADZp in attP40/CyO; 60H04-ZpGdbd in attP2
,SS00324,SS00324,inter,chins,SS00324,Adult,Aljoscha Nern,Rubin,2,N,10.1016/j.neuron.2017.03.010,Strother; 2017,2502531,"T4, T5",,GMR_59E08-x-GMR_42F06,w; 59E08-p65ADZp in attP40; 42F06-ZpGdbd in attP2
,SS00342,SS00342,leg MN,,SS00342,Adult,Aljoscha Nern,Rubin,1,N,"Dionne et al., in prep",Dionne; 2024,3000731,aMe4,,GMR_15D08-x-GMR_30A07,w[1118]; P{y[+t7.7] w[+mC]=R15D08-p65.AD}attP40; P{y[+t7.7] w[+mC]=R30A07-GAL4.DBD}attP2
,SS00698,SS00698,MN,,SS00698,Adult,Aljoscha Nern,Rubin,1,N,10.1016/j.neuron.2013.05.024,"Tuthill, Nern; 2013",3007608,Lawf2,,GMR_11D03-x-GMR_19C10,w[1118]; P{y[+t7.7] w[+mC]=R11D03-p65.AD}attP40; P{y[+t7.7] w[+mC]=R19C10-GAL4.DBD}attP2
,SS00698,SS00698,leg MN,acc tibia flexor,SS00698,Adult,Aljoscha Nern,Rubin,1,N,10.1016/j.neuron.2013.05.024,"Tuthill, Nern; 2013",3007608,Lawf2,,GMR_11D03-x-GMR_19C10,w[1118]; P{y[+t7.7] w[+mC]=R11D03-p65.AD}attP40; P{y[+t7.7] w[+mC]=R19C10-GAL4.DBD}attP2
,SS00700,SS00700,asc,,SS00700,Adult,Aljoscha Nern,Rubin,1,N,10.1016/j.neuron.2013.05.024,"Tuthill, Nern; 2013",3007610,T1,,GMR_31F10-x-GMR_65D07,w[1118]; P{y[+t7.7] w[+mC]=R31F10-p65.AD}attP40/CyO; P{y[+t7.7] w[+mC]=R65D07-GAL4.DBD}attP2
