Line,"Adult/
Larval",Main annotator,Lab,Quality,Sex difference,VNC only,Brain only,DOI to cite,First author(s) & year,Janelia Robot ID,Cell types,EM Body IDs,Alias,Genotype
SS00043,Adult,Tanya Wolff,Rubin,1,N,No,No,10.1002/cne.24512,Wolff; 2018,2502208,PFNa,,GMR_65B12-x-GMR_30E10,w; 65B12-p65ADZp in attP40; 30E10-ZpGdbd in attP2
SS00078,Adult,Tanya Wolff,Rubin,1,N,No,Yes,10.1002/cne.24512,Wolff; 2018,2502243,PFNd,,GMR_16D01-x-GMR_15E01,w; 16D01-p65ADZp in attP40; 15E01-ZpGdbd in attP2
SS00090,Adult,Tanya Wolff,Rubin,1,N,No,Yes,10.1002/cne.24512,Wolff; 2018,2502255,EPG,,GMR_19G02-x-GMR_15C03,w; 19G02-p65ADZp in attP40; 15C03-ZpGdbd in attP2
SS00098,Adult,Tanya Wolff,Rubin,1,N,No,No,10.1002/cne.24512,Wolff; 2018,2502263,EPG,,GMR_19G02-x-GMR_93G12,w; 19G02-p65ADZp in attP40; 93G12-ZpGdbd in attP2
SS00191,Adult,Tanya Wolff,Rubin,1,N,No,Yes,10.1002/cne.24512,Wolff; 2018,2502356,"PFNm_a, PFNm_b, PFNp_a, PFNp_b, PFNp_c, PFNp_d, PFNp_e",,GMR_38G07-x-GMR_37H01,w; 38G07-p65ADZp in attP40/CyO; 37H01-ZpGdbd in attP2
SS02191,Adult,Tanya Wolff,Rubin,2,N,No,No,10.1002/cne.24512,Wolff; 2018,3017970,PEG,,VT000355-x-VT040589,w; VT000355-p65ADZp in attP40/CyO::Tb-RFP; VT040589-ZpGdbd in attP2/TM6B
SS02195,Adult,Tanya Wolff,Rubin,1,N,No,No,10.1002/cne.24512,Wolff; 2018,3017974,PEcG,,VT000355-x-GMR_47A08,w; VT000355-p65ADZp in attP40; 47A08-ZpGdbd in attP2
SS02254,Adult,Tanya Wolff,Rubin,2,N,No,No,10.1002/cne.24512,Wolff; 2018,3018120,EPGt,,GMR_15E01-x-VT016114,w; 15E01-p65ADZp in attP40; VT016114-ZpGdbd in attP2
SS02270,Adult,Tanya Wolff,Rubin,2,N,No,No,10.1002/cne.24512,Wolff; 2018,3018136,PFR_a,,GMR_30G06-x-GMR_27A10,w; 30G06-p65ADZp in attP40; 27A10-ZpGdbd in attP2
SS02293,Adult,Tanya Wolff,Rubin,2,N,No,No,10.1002/cne.24512,Wolff; 2018,3018159,"PFR_a, PFR_b",,GMR_41G11-x-VT005534,w; 41G11-p65ADZp in attP40; VT005534-ZpGdbd in attP2
