timestamp, name, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/06/24 21:06:33.725, NVIDIA L40S, 32, 0 %, 0 %, 0 MiB, 46068 MiB
2026/06/24 21:06:36.732, NVIDIA L40S, 32, 0 %, 0 %, 0 MiB, 46068 MiB
2026/06/24 21:06:39.733, NVIDIA L40S, 32, 0 %, 0 %, 0 MiB, 46068 MiB
2026/06/24 21:06:42.733, NVIDIA L40S, 31, 0 %, 0 %, 0 MiB, 46068 MiB
2026/06/24 21:06:45.734, NVIDIA L40S, 31, 0 %, 0 %, 0 MiB, 46068 MiB
2026/06/24 21:06:48.734, NVIDIA L40S, 31, 0 %, 0 %, 0 MiB, 46068 MiB
2026/06/24 21:06:51.735, NVIDIA L40S, 31, 0 %, 0 %, 0 MiB, 46068 MiB
2026/06/24 21:06:54.735, NVIDIA L40S, 31, 0 %, 0 %, 0 MiB, 46068 MiB
2026/06/24 21:06:57.736, NVIDIA L40S, 31, 0 %, 0 %, 0 MiB, 46068 MiB
2026/06/24 21:07:00.736, NVIDIA L40S, 31, 0 %, 0 %, 0 MiB, 46068 MiB
2026/06/24 21:07:03.737, NVIDIA L40S, 31, 0 %, 0 %, 0 MiB, 46068 MiB
2026/06/24 21:07:06.738, NVIDIA L40S, 31, 0 %, 0 %, 0 MiB, 46068 MiB
2026/06/24 21:07:09.738, NVIDIA L40S, 31, 0 %, 0 %, 0 MiB, 46068 MiB
2026/06/24 21:07:12.739, NVIDIA L40S, 31, 0 %, 0 %, 0 MiB, 46068 MiB
2026/06/24 21:07:15.739, NVIDIA L40S, 31, 0 %, 0 %, 0 MiB, 46068 MiB
2026/06/24 21:07:18.740, NVIDIA L40S, 30, 0 %, 0 %, 0 MiB, 46068 MiB
2026/06/24 21:07:21.740, NVIDIA L40S, 30, 0 %, 0 %, 0 MiB, 46068 MiB
2026/06/24 21:07:24.741, NVIDIA L40S, 30, 0 %, 0 %, 0 MiB, 46068 MiB
2026/06/24 21:07:27.742, NVIDIA L40S, 30, 0 %, 0 %, 0 MiB, 46068 MiB
2026/06/24 21:07:30.742, NVIDIA L40S, 30, 0 %, 0 %, 0 MiB, 46068 MiB
2026/06/24 21:07:33.743, NVIDIA L40S, 30, 0 %, 0 %, 0 MiB, 46068 MiB
2026/06/24 21:07:36.743, NVIDIA L40S, 30, 0 %, 0 %, 0 MiB, 46068 MiB
2026/06/24 21:07:39.744, NVIDIA L40S, 30, 0 %, 0 %, 0 MiB, 46068 MiB
2026/06/24 21:07:42.744, NVIDIA L40S, 30, 0 %, 0 %, 0 MiB, 46068 MiB
2026/06/24 21:07:45.745, NVIDIA L40S, 30, 0 %, 0 %, 0 MiB, 46068 MiB
2026/06/24 21:07:48.745, NVIDIA L40S, 30, 0 %, 0 %, 0 MiB, 46068 MiB
2026/06/24 21:07:51.746, NVIDIA L40S, 30, 0 %, 0 %, 0 MiB, 46068 MiB
2026/06/24 21:07:54.747, NVIDIA L40S, 30, 0 %, 0 %, 0 MiB, 46068 MiB
2026/06/24 21:07:57.747, NVIDIA L40S, 30, 0 %, 0 %, 0 MiB, 46068 MiB
2026/06/24 21:08:00.748, NVIDIA L40S, 30, 0 %, 0 %, 0 MiB, 46068 MiB
2026/06/24 21:08:03.748, NVIDIA L40S, 30, 0 %, 0 %, 0 MiB, 46068 MiB
2026/06/24 21:08:06.749, NVIDIA L40S, 30, 0 %, 0 %, 0 MiB, 46068 MiB
2026/06/24 21:08:09.749, NVIDIA L40S, 30, 0 %, 0 %, 0 MiB, 46068 MiB
2026/06/24 21:08:12.750, NVIDIA L40S, 30, 0 %, 0 %, 0 MiB, 46068 MiB
2026/06/24 21:08:15.750, NVIDIA L40S, 30, 0 %, 0 %, 0 MiB, 46068 MiB
2026/06/24 21:08:18.751, NVIDIA L40S, 30, 0 %, 0 %, 0 MiB, 46068 MiB
2026/06/24 21:08:21.751, NVIDIA L40S, 30, 0 %, 0 %, 0 MiB, 46068 MiB
2026/06/24 21:08:24.752, NVIDIA L40S, 29, 0 %, 0 %, 0 MiB, 46068 MiB
2026/06/24 21:08:27.752, NVIDIA L40S, 29, 0 %, 0 %, 0 MiB, 46068 MiB
2026/06/24 21:08:30.753, NVIDIA L40S, 29, 0 %, 0 %, 0 MiB, 46068 MiB
2026/06/24 21:08:33.754, NVIDIA L40S, 29, 0 %, 0 %, 3 MiB, 46068 MiB
2026/06/24 21:08:36.754, NVIDIA L40S, 29, 0 %, 0 %, 3 MiB, 46068 MiB
2026/06/24 21:08:39.754, NVIDIA L40S, 29, 0 %, 0 %, 3 MiB, 46068 MiB
2026/06/24 21:08:42.755, NVIDIA L40S, 29, 0 %, 0 %, 3 MiB, 46068 MiB
2026/06/24 21:08:45.756, NVIDIA L40S, 32, 0 %, 0 %, 509 MiB, 46068 MiB
2026/06/24 21:08:48.756, NVIDIA L40S, 33, 0 %, 0 %, 513 MiB, 46068 MiB
2026/06/24 21:08:51.757, NVIDIA L40S, 34, 0 %, 0 %, 515 MiB, 46068 MiB
2026/06/24 21:08:54.757, NVIDIA L40S, 35, 15 %, 4 %, 761 MiB, 46068 MiB
2026/06/24 21:08:57.758, NVIDIA L40S, 34, 0 %, 0 %, 671 MiB, 46068 MiB
2026/06/24 21:09:00.758, NVIDIA L40S, 35, 0 %, 0 %, 671 MiB, 46068 MiB
2026/06/24 21:09:03.759, NVIDIA L40S, 35, 0 %, 0 %, 793 MiB, 46068 MiB
