timestamp, name, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/06/24 15:56:42.575, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/06/24 15:56:45.578, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/06/24 15:56:48.582, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/06/24 15:56:51.585, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/06/24 15:56:54.589, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/06/24 15:56:57.595, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/06/24 15:57:00.597, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/06/24 15:57:03.599, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/06/24 15:57:06.601, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/06/24 15:57:09.606, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/06/24 15:57:12.607, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/06/24 15:57:15.608, NVIDIA H200, 29, 0 %, 0 %, 0 MiB, 143771 MiB
2026/06/24 15:57:18.609, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/06/24 15:57:21.615, NVIDIA H200, 29, 0 %, 0 %, 0 MiB, 143771 MiB
2026/06/24 15:57:24.621, NVIDIA H200, 29, 0 %, 0 %, 0 MiB, 143771 MiB
2026/06/24 15:57:27.623, NVIDIA H200, 29, 0 %, 0 %, 0 MiB, 143771 MiB
2026/06/24 15:57:30.623, NVIDIA H200, 29, 0 %, 0 %, 0 MiB, 143771 MiB
2026/06/24 15:57:33.625, NVIDIA H200, 29, 0 %, 0 %, 0 MiB, 143771 MiB
2026/06/24 15:57:36.627, NVIDIA H200, 29, 0 %, 0 %, 0 MiB, 143771 MiB
2026/06/24 15:57:39.631, NVIDIA H200, 29, 0 %, 0 %, 0 MiB, 143771 MiB
2026/06/24 15:57:42.634, NVIDIA H200, 29, 0 %, 0 %, 0 MiB, 143771 MiB
2026/06/24 15:57:45.635, NVIDIA H200, 29, 0 %, 0 %, 0 MiB, 143771 MiB
2026/06/24 15:57:48.636, NVIDIA H200, 29, 0 %, 0 %, 0 MiB, 143771 MiB
2026/06/24 15:57:51.640, NVIDIA H200, 29, 0 %, 0 %, 0 MiB, 143771 MiB
2026/06/24 15:57:54.647, NVIDIA H200, 29, 0 %, 0 %, 0 MiB, 143771 MiB
2026/06/24 15:57:57.648, NVIDIA H200, 29, 0 %, 0 %, 0 MiB, 143771 MiB
2026/06/24 15:58:00.649, NVIDIA H200, 29, 0 %, 0 %, 0 MiB, 143771 MiB
2026/06/24 15:58:03.649, NVIDIA H200, 29, 0 %, 0 %, 0 MiB, 143771 MiB
2026/06/24 15:58:06.651, NVIDIA H200, 29, 0 %, 0 %, 0 MiB, 143771 MiB
2026/06/24 15:58:09.652, NVIDIA H200, 29, 0 %, 0 %, 0 MiB, 143771 MiB
2026/06/24 15:58:12.654, NVIDIA H200, 29, 0 %, 0 %, 0 MiB, 143771 MiB
2026/06/24 15:58:15.656, NVIDIA H200, 29, 0 %, 0 %, 0 MiB, 143771 MiB
2026/06/24 15:58:18.661, NVIDIA H200, 29, 0 %, 0 %, 0 MiB, 143771 MiB
2026/06/24 15:58:21.668, NVIDIA H200, 29, 0 %, 0 %, 0 MiB, 143771 MiB
2026/06/24 15:58:24.670, NVIDIA H200, 29, 0 %, 0 %, 0 MiB, 143771 MiB
2026/06/24 15:58:27.672, NVIDIA H200, 29, 0 %, 0 %, 0 MiB, 143771 MiB
2026/06/24 15:58:30.674, NVIDIA H200, 29, 0 %, 0 %, 0 MiB, 143771 MiB
2026/06/24 15:58:33.676, NVIDIA H200, 29, 0 %, 0 %, 0 MiB, 143771 MiB
2026/06/24 15:58:36.679, NVIDIA H200, 29, 0 %, 0 %, 0 MiB, 143771 MiB
2026/06/24 15:58:39.680, NVIDIA H200, 29, 0 %, 0 %, 0 MiB, 143771 MiB
2026/06/24 15:58:42.681, NVIDIA H200, 29, 0 %, 0 %, 0 MiB, 143771 MiB
