timestamp, name, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/08/13 18:24:02.506, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:24:05.508, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:24:08.508, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:24:11.509, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:24:14.509, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:24:17.510, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:24:20.510, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:24:23.511, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:24:26.511, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:24:29.511, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:24:32.512, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:24:35.512, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:24:38.513, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:24:41.513, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:24:44.514, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:24:47.514, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:24:50.515, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:24:53.515, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
