timestamp, name, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/08/13 18:33:05.612, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:33:08.618, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:33:11.618, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:33:14.618, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:33:17.619, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:33:20.619, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:33:23.619, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:33:26.619, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:33:29.620, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:33:32.620, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:33:35.620, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:33:38.620, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:33:41.621, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:33:44.621, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:33:47.621, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:33:50.621, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:33:53.621, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:33:56.622, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:33:59.622, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:34:02.622, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:34:05.622, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:34:08.623, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:34:11.623, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:34:14.623, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:34:17.623, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:34:20.624, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:34:23.624, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:34:26.624, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:34:29.624, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/13 18:34:32.624, NVIDIA H200, 25, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/13 18:34:35.625, NVIDIA H200, 25, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/13 18:34:38.625, NVIDIA H200, 25, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/13 18:34:41.625, NVIDIA H200, 25, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/13 18:34:44.626, NVIDIA H200, 25, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/13 18:34:47.626, NVIDIA H200, 25, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/13 18:34:50.626, NVIDIA H200, 25, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/13 18:34:53.626, NVIDIA H200, 25, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/13 18:34:56.627, NVIDIA H200, 25, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/13 18:34:59.627, NVIDIA H200, 25, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/13 18:35:02.627, NVIDIA H200, 25, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/13 18:35:05.627, NVIDIA H200, 25, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/13 18:35:08.627, NVIDIA H200, 25, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/13 18:35:11.628, NVIDIA H200, 25, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/13 18:35:14.628, NVIDIA H200, 25, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/13 18:35:17.628, NVIDIA H200, 25, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/13 18:35:20.628, NVIDIA H200, 25, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/13 18:35:23.629, NVIDIA H200, 25, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/13 18:35:26.629, NVIDIA H200, 25, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/13 18:35:29.629, NVIDIA H200, 25, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/13 18:35:32.629, NVIDIA H200, 25, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/13 18:35:35.630, NVIDIA H200, 25, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/13 18:35:38.630, NVIDIA H200, 25, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/13 18:35:41.630, NVIDIA H200, 25, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/13 18:35:44.630, NVIDIA H200, 25, 0 %, 0 %, 529 MiB, 143771 MiB
