timestamp, name, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/08/05 19:53:30.934, NVIDIA H200, 29, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 19:53:33.936, NVIDIA H200, 29, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 19:53:36.936, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 19:53:39.937, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 19:53:42.949, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 19:53:45.950, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 19:53:48.950, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 19:53:51.951, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 19:53:54.951, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 19:53:57.951, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 19:54:00.952, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 19:54:03.952, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 19:54:06.952, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 19:54:09.953, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 19:54:12.953, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 19:54:15.953, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 19:54:18.954, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 19:54:21.954, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 19:54:24.954, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 19:54:27.955, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 19:54:30.955, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 19:54:33.955, NVIDIA H200, 26, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 19:54:36.956, NVIDIA H200, 26, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 19:54:39.956, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 19:54:42.957, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 19:54:45.957, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 19:54:48.957, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 19:54:51.958, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 19:54:54.958, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 19:54:57.959, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 19:55:00.959, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 19:55:03.960, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 19:55:06.960, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 19:55:09.960, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 19:55:12.961, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 19:55:15.961, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 19:55:18.962, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 19:55:21.962, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 19:55:24.962, NVIDIA H200, 28, 0 %, 0 %, 4 MiB, 143771 MiB
2026/08/05 19:55:27.963, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 19:55:30.963, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 19:55:33.964, NVIDIA H200, 30, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 19:55:36.964, NVIDIA H200, 30, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 19:55:39.965, NVIDIA H200, 30, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 19:55:42.965, NVIDIA H200, 30, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 19:55:45.966, NVIDIA H200, 30, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 19:55:48.966, NVIDIA H200, 30, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 19:55:51.967, NVIDIA H200, 30, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 19:55:54.967, NVIDIA H200, 30, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 19:55:57.968, NVIDIA H200, 30, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 19:56:00.968, NVIDIA H200, 30, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 19:56:03.969, NVIDIA H200, 30, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 19:56:06.969, NVIDIA H200, 30, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 19:56:09.970, NVIDIA H200, 30, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 19:56:12.970, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 19:56:15.971, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 19:56:18.972, NVIDIA H200, 30, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 19:56:21.972, NVIDIA H200, 30, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 19:56:24.973, NVIDIA H200, 30, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 19:56:27.973, NVIDIA H200, 30, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 19:56:30.974, NVIDIA H200, 30, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 19:56:33.974, NVIDIA H200, 30, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 19:56:36.975, NVIDIA H200, 30, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 19:56:39.975, NVIDIA H200, 30, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 19:56:42.976, NVIDIA H200, 30, 1 %, 0 %, 721 MiB, 143771 MiB
2026/08/05 19:56:45.976, NVIDIA H200, 30, 0 %, 0 %, 783 MiB, 143771 MiB
2026/08/05 19:56:48.976, NVIDIA H200, 30, 0 %, 0 %, 783 MiB, 143771 MiB
2026/08/05 19:56:51.977, NVIDIA H200, 30, 0 %, 0 %, 783 MiB, 143771 MiB
2026/08/05 19:56:54.977, NVIDIA H200, 30, 0 %, 0 %, 789 MiB, 143771 MiB
2026/08/05 19:56:57.978, NVIDIA H200, 39, 100 %, 23 %, 27197 MiB, 143771 MiB
2026/08/05 19:57:00.979, NVIDIA H200, 32, 0 %, 0 %, 20859 MiB, 143771 MiB
2026/08/05 19:57:03.979, NVIDIA H200, 36, 100 %, 26 %, 42039 MiB, 143771 MiB
2026/08/05 19:57:06.979, NVIDIA H200, 31, 0 %, 0 %, 54653 MiB, 143771 MiB
2026/08/05 19:57:09.980, NVIDIA H200, 34, 46 %, 16 %, 56773 MiB, 143771 MiB
2026/08/05 19:57:12.980, NVIDIA H200, 39, 100 %, 6 %, 63087 MiB, 143771 MiB
2026/08/05 19:57:15.981, NVIDIA H200, 43, 100 %, 13 %, 58883 MiB, 143771 MiB
2026/08/05 19:57:18.981, NVIDIA H200, 36, 100 %, 7 %, 65205 MiB, 143771 MiB
2026/08/05 19:57:21.982, NVIDIA H200, 43, 52 %, 23 %, 44189 MiB, 143771 MiB
2026/08/05 19:57:24.982, NVIDIA H200, 39, 100 %, 6 %, 32893 MiB, 143771 MiB
2026/08/05 19:57:27.982, NVIDIA H200, 40, 100 %, 3 %, 22957 MiB, 143771 MiB
2026/08/05 19:57:30.983, NVIDIA H200, 34, 100 %, 0 %, 31363 MiB, 143771 MiB
2026/08/05 19:57:33.983, NVIDIA H200, 42, 99 %, 39 %, 74619 MiB, 143771 MiB
2026/08/05 19:57:36.984, NVIDIA H200, 45, 100 %, 44 %, 74619 MiB, 143771 MiB
2026/08/05 19:57:39.984, NVIDIA H200, 48, 100 %, 43 %, 74619 MiB, 143771 MiB
2026/08/05 19:57:42.985, NVIDIA H200, 45, 100 %, 40 %, 74619 MiB, 143771 MiB
2026/08/05 19:57:45.985, NVIDIA H200, 44, 99 %, 61 %, 74619 MiB, 143771 MiB
2026/08/05 19:57:48.986, NVIDIA H200, 42, 100 %, 53 %, 74619 MiB, 143771 MiB
2026/08/05 19:57:51.986, NVIDIA H200, 42, 99 %, 45 %, 74619 MiB, 143771 MiB
2026/08/05 19:57:54.987, NVIDIA H200, 41, 100 %, 42 %, 74619 MiB, 143771 MiB
2026/08/05 19:57:57.987, NVIDIA H200, 40, 81 %, 17 %, 24177 MiB, 143771 MiB
2026/08/05 19:58:00.988, NVIDIA H200, 36, 100 %, 10 %, 43659 MiB, 143771 MiB
2026/08/05 19:58:03.988, NVIDIA H200, 37, 100 %, 21 %, 42029 MiB, 143771 MiB
2026/08/05 19:58:06.988, NVIDIA H200, 35, 100 %, 10 %, 30123 MiB, 143771 MiB
2026/08/05 19:58:09.989, NVIDIA H200, 30, 0 %, 0 %, 21373 MiB, 143771 MiB
2026/08/05 19:58:12.989, NVIDIA H200, 36, 100 %, 4 %, 17681 MiB, 143771 MiB
2026/08/05 19:58:15.990, NVIDIA H200, 29, 100 %, 0 %, 22967 MiB, 143771 MiB
2026/08/05 19:58:18.990, NVIDIA H200, 26, 0 %, 0 %, 14533 MiB, 143771 MiB
2026/08/05 19:58:21.991, NVIDIA H200, 36, 70 %, 21 %, 6245 MiB, 143771 MiB
2026/08/05 19:58:24.991, NVIDIA H200, 27, 0 %, 0 %, 9667 MiB, 143771 MiB
2026/08/05 19:58:27.992, NVIDIA H200, 26, 0 %, 0 %, 9667 MiB, 143771 MiB
2026/08/05 19:58:30.992, NVIDIA H200, 26, 0 %, 0 %, 9667 MiB, 143771 MiB
2026/08/05 19:58:33.993, NVIDIA H200, 37, 98 %, 38 %, 74259 MiB, 143771 MiB
2026/08/05 19:58:36.993, NVIDIA H200, 40, 100 %, 44 %, 74259 MiB, 143771 MiB
2026/08/05 19:58:39.994, NVIDIA H200, 35, 77 %, 42 %, 74259 MiB, 143771 MiB
2026/08/05 19:58:42.995, NVIDIA H200, 41, 100 %, 46 %, 74259 MiB, 143771 MiB
2026/08/05 19:58:45.995, NVIDIA H200, 40, 100 %, 39 %, 74259 MiB, 143771 MiB
2026/08/05 19:58:48.996, NVIDIA H200, 40, 100 %, 44 %, 74259 MiB, 143771 MiB
2026/08/05 19:58:51.997, NVIDIA H200, 41, 100 %, 40 %, 74259 MiB, 143771 MiB
2026/08/05 19:58:54.998, NVIDIA H200, 41, 99 %, 50 %, 74259 MiB, 143771 MiB
2026/08/05 19:58:57.998, NVIDIA H200, 41, 100 %, 40 %, 74259 MiB, 143771 MiB
2026/08/05 19:59:00.999, NVIDIA H200, 30, 84 %, 35 %, 74259 MiB, 143771 MiB
2026/08/05 19:59:03.999, NVIDIA H200, 30, 0 %, 0 %, 74259 MiB, 143771 MiB
2026/08/05 19:59:07.000, NVIDIA H200, 30, 0 %, 0 %, 74259 MiB, 143771 MiB
2026/08/05 19:59:10.000, NVIDIA H200, 30, 0 %, 0 %, 74259 MiB, 143771 MiB
2026/08/05 19:59:13.001, NVIDIA H200, 43, 99 %, 45 %, 74259 MiB, 143771 MiB
2026/08/05 19:59:16.001, NVIDIA H200, 48, 100 %, 44 %, 74259 MiB, 143771 MiB
2026/08/05 19:59:19.002, NVIDIA H200, 43, 100 %, 49 %, 74259 MiB, 143771 MiB
2026/08/05 19:59:22.002, NVIDIA H200, 47, 100 %, 40 %, 74259 MiB, 143771 MiB
2026/08/05 19:59:25.003, NVIDIA H200, 43, 100 %, 40 %, 74259 MiB, 143771 MiB
2026/08/05 19:59:28.003, NVIDIA H200, 46, 100 %, 41 %, 74259 MiB, 143771 MiB
2026/08/05 19:59:31.004, NVIDIA H200, 45, 99 %, 53 %, 74259 MiB, 143771 MiB
2026/08/05 19:59:34.004, NVIDIA H200, 48, 100 %, 52 %, 74259 MiB, 143771 MiB
2026/08/05 19:59:37.005, NVIDIA H200, 38, 0 %, 0 %, 74259 MiB, 143771 MiB
2026/08/05 19:59:40.005, NVIDIA H200, 40, 32 %, 16 %, 74259 MiB, 143771 MiB
2026/08/05 19:59:43.006, NVIDIA H200, 32, 0 %, 0 %, 74259 MiB, 143771 MiB
2026/08/05 19:59:46.006, NVIDIA H200, 31, 0 %, 0 %, 74259 MiB, 143771 MiB
2026/08/05 19:59:49.007, NVIDIA H200, 31, 0 %, 0 %, 74259 MiB, 143771 MiB
2026/08/05 19:59:52.007, NVIDIA H200, 42, 98 %, 53 %, 74259 MiB, 143771 MiB
2026/08/05 19:59:55.008, NVIDIA H200, 45, 100 %, 50 %, 74259 MiB, 143771 MiB
2026/08/05 19:59:58.008, NVIDIA H200, 38, 98 %, 55 %, 74259 MiB, 143771 MiB
2026/08/05 20:00:01.009, NVIDIA H200, 39, 100 %, 37 %, 74259 MiB, 143771 MiB
2026/08/05 20:00:04.009, NVIDIA H200, 43, 98 %, 41 %, 74259 MiB, 143771 MiB
2026/08/05 20:00:07.010, NVIDIA H200, 47, 100 %, 44 %, 74259 MiB, 143771 MiB
2026/08/05 20:00:10.010, NVIDIA H200, 46, 91 %, 48 %, 74259 MiB, 143771 MiB
2026/08/05 20:00:13.011, NVIDIA H200, 46, 99 %, 43 %, 74259 MiB, 143771 MiB
2026/08/05 20:00:16.011, NVIDIA H200, 46, 100 %, 39 %, 74259 MiB, 143771 MiB
2026/08/05 20:00:19.012, NVIDIA H200, 33, 0 %, 0 %, 74259 MiB, 143771 MiB
2026/08/05 20:00:22.013, NVIDIA H200, 35, 0 %, 0 %, 74259 MiB, 143771 MiB
2026/08/05 20:00:25.013, NVIDIA H200, 32, 0 %, 0 %, 74259 MiB, 143771 MiB
2026/08/05 20:00:28.013, NVIDIA H200, 32, 0 %, 0 %, 74259 MiB, 143771 MiB
2026/08/05 20:00:31.014, NVIDIA H200, 37, 24 %, 15 %, 74259 MiB, 143771 MiB
2026/08/05 20:00:34.014, NVIDIA H200, 46, 99 %, 38 %, 74259 MiB, 143771 MiB
2026/08/05 20:00:37.015, NVIDIA H200, 47, 100 %, 39 %, 74259 MiB, 143771 MiB
2026/08/05 20:00:40.015, NVIDIA H200, 42, 99 %, 39 %, 74259 MiB, 143771 MiB
2026/08/05 20:00:43.016, NVIDIA H200, 44, 100 %, 45 %, 74259 MiB, 143771 MiB
2026/08/05 20:00:46.016, NVIDIA H200, 30, 0 %, 0 %, 74259 MiB, 143771 MiB
2026/08/05 20:00:49.017, NVIDIA H200, 43, 100 %, 42 %, 74259 MiB, 143771 MiB
2026/08/05 20:00:52.018, NVIDIA H200, 47, 99 %, 50 %, 74259 MiB, 143771 MiB
2026/08/05 20:00:55.019, NVIDIA H200, 47, 100 %, 54 %, 74259 MiB, 143771 MiB
2026/08/05 20:00:58.019, NVIDIA H200, 37, 0 %, 0 %, 74259 MiB, 143771 MiB
2026/08/05 20:01:01.020, NVIDIA H200, 32, 0 %, 0 %, 74259 MiB, 143771 MiB
2026/08/05 20:01:04.021, NVIDIA H200, 33, 0 %, 0 %, 74259 MiB, 143771 MiB
2026/08/05 20:01:07.021, NVIDIA H200, 32, 0 %, 0 %, 74259 MiB, 143771 MiB
2026/08/05 20:01:10.021, NVIDIA H200, 32, 0 %, 0 %, 74259 MiB, 143771 MiB
2026/08/05 20:01:13.022, NVIDIA H200, 32, 0 %, 0 %, 74259 MiB, 143771 MiB
2026/08/05 20:01:16.022, NVIDIA H200, 31, 0 %, 0 %, 74259 MiB, 143771 MiB
2026/08/05 20:01:19.023, NVIDIA H200, 31, 0 %, 0 %, 74259 MiB, 143771 MiB
2026/08/05 20:01:22.024, NVIDIA H200, 45, 100 %, 49 %, 74259 MiB, 143771 MiB
2026/08/05 20:01:25.025, NVIDIA H200, 48, 100 %, 41 %, 74259 MiB, 143771 MiB
2026/08/05 20:01:28.026, NVIDIA H200, 45, 97 %, 40 %, 74259 MiB, 143771 MiB
2026/08/05 20:01:31.026, NVIDIA H200, 47, 100 %, 43 %, 74259 MiB, 143771 MiB
2026/08/05 20:01:34.027, NVIDIA H200, 47, 100 %, 42 %, 74259 MiB, 143771 MiB
2026/08/05 20:01:37.027, NVIDIA H200, 48, 100 %, 46 %, 74259 MiB, 143771 MiB
2026/08/05 20:01:40.028, NVIDIA H200, 49, 100 %, 41 %, 74259 MiB, 143771 MiB
2026/08/05 20:01:43.028, NVIDIA H200, 48, 99 %, 53 %, 74259 MiB, 143771 MiB
