timestamp, name, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/08/08 10:00:27.616, NVIDIA H200, 21, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/08 10:00:30.621, NVIDIA H200, 21, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/08 10:00:33.621, NVIDIA H200, 21, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/08 10:00:36.622, NVIDIA H200, 21, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/08 10:00:39.622, NVIDIA H200, 21, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/08 10:00:42.623, NVIDIA H200, 21, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/08 10:00:45.623, NVIDIA H200, 21, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/08 10:00:48.624, NVIDIA H200, 21, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/08 10:00:51.624, NVIDIA H200, 21, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/08 10:00:54.625, NVIDIA H200, 21, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/08 10:00:57.625, NVIDIA H200, 21, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/08 10:01:00.626, NVIDIA H200, 21, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/08 10:01:03.626, NVIDIA H200, 21, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/08 10:01:06.627, NVIDIA H200, 21, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/08 10:01:09.627, NVIDIA H200, 21, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/08 10:01:12.628, NVIDIA H200, 21, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/08 10:01:15.628, NVIDIA H200, 21, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/08 10:01:18.629, NVIDIA H200, 21, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/08 10:01:21.629, NVIDIA H200, 21, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/08 10:01:24.630, NVIDIA H200, 21, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/08 10:01:27.630, NVIDIA H200, 21, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/08 10:01:30.631, NVIDIA H200, 21, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/08 10:01:33.631, NVIDIA H200, 21, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/08 10:01:36.632, NVIDIA H200, 21, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/08 10:01:39.632, NVIDIA H200, 21, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/08 10:01:42.633, NVIDIA H200, 21, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/08 10:01:45.633, NVIDIA H200, 21, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/08 10:01:48.634, NVIDIA H200, 21, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/08 10:01:51.634, NVIDIA H200, 21, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/08 10:01:54.634, NVIDIA H200, 21, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/08 10:01:57.635, NVIDIA H200, 21, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/08 10:02:00.636, NVIDIA H200, 21, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/08 10:02:03.636, NVIDIA H200, 21, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/08 10:02:06.636, NVIDIA H200, 21, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/08 10:02:09.637, NVIDIA H200, 21, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/08 10:02:12.637, NVIDIA H200, 21, 0 %, 0 %, 1 MiB, 143771 MiB
2026/08/08 10:02:15.687, NVIDIA H200, 23, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:02:18.687, NVIDIA H200, 23, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:02:21.688, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:02:24.688, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:02:27.689, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:02:30.689, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:02:33.690, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:02:36.690, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:02:39.691, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:02:42.691, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:02:45.692, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:02:48.693, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:02:51.693, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:02:54.694, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:02:57.694, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:03:00.695, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:03:03.695, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:03:06.695, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:03:09.696, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:03:12.696, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:03:15.697, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:03:18.697, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:03:21.698, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:03:24.698, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:03:27.699, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:03:30.699, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:03:33.700, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:03:36.700, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:03:39.700, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:03:42.701, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:03:45.701, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:03:48.702, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:03:51.702, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:03:54.703, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:03:57.703, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:04:00.704, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:04:03.704, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:04:06.705, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:04:09.705, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:04:12.706, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:04:15.706, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:04:18.707, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:04:21.708, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:04:24.709, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:04:27.709, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:04:30.709, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:04:33.710, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:04:36.710, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:04:39.711, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:04:42.711, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:04:45.712, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:04:48.713, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:04:51.713, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:04:54.714, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:04:57.714, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:05:00.715, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:05:03.715, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:05:06.716, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:05:09.716, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:05:12.716, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:05:15.717, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:05:18.717, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:05:21.718, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:05:24.718, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:05:27.719, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:05:30.719, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:05:33.720, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:05:36.720, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:05:39.720, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:05:42.721, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:05:45.721, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:05:48.722, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:05:51.722, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:05:54.722, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:05:57.723, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:06:00.723, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:06:03.724, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:06:06.724, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:06:09.725, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:06:12.725, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:06:15.726, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:06:18.726, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:06:21.727, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:06:24.727, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:06:27.728, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:06:30.728, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:06:33.729, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:06:36.729, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:06:39.730, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:06:42.730, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:06:45.731, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:06:48.731, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:06:51.732, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:06:54.732, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:06:57.733, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:07:00.733, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/08 10:07:03.733, NVIDIA H200, 24, 0 %, 0 %, 529 MiB, 143771 MiB
