timestamp, name, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/08/07 12:01:34.821, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 12:01:37.823, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 12:01:40.823, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 12:01:43.824, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 12:01:46.825, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 12:01:49.825, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 12:01:52.825, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 12:01:55.826, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 12:01:58.826, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 12:02:01.827, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 12:02:04.827, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 12:02:07.828, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 12:02:10.828, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 12:02:13.828, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 12:02:16.829, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 12:02:19.829, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 12:02:22.830, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 12:02:25.830, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 12:02:28.831, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 12:02:31.831, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 12:02:34.832, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 12:02:37.832, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 12:02:40.833, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 12:02:43.833, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 12:02:46.834, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 12:02:49.834, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 12:02:52.835, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 12:02:55.835, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 12:02:58.836, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 12:03:01.836, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 12:03:04.836, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 12:03:07.837, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 12:03:10.837, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 12:03:13.837, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 12:03:16.837, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 12:03:19.838, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 12:03:22.838, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 12:03:25.838, NVIDIA H200, 28, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:03:28.838, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:03:31.839, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:03:34.839, NVIDIA H200, 28, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:03:37.840, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:03:40.841, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:03:43.841, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:03:46.841, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:03:49.842, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:03:52.842, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:03:55.843, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:03:58.843, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:04:01.844, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:04:04.844, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:04:07.845, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:04:10.845, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:04:13.845, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:04:16.846, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:04:19.846, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:04:22.846, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:04:25.847, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:04:28.847, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:04:31.848, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:04:34.848, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:04:37.848, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:04:40.849, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:04:43.849, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:04:46.849, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:04:49.850, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:04:52.850, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:04:55.851, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:04:58.851, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:05:01.851, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:05:04.852, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:05:07.852, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:05:10.852, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:05:13.853, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:05:16.853, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:05:19.854, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:05:22.854, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:05:25.855, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:05:28.855, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:05:31.855, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:05:34.856, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:05:37.856, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:05:40.857, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:05:43.857, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:05:46.857, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:05:49.858, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:05:52.858, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:05:55.859, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:05:58.859, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:06:01.859, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:06:04.860, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:06:07.860, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:06:10.861, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:06:13.861, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:06:16.862, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:06:19.862, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:06:22.863, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:06:25.863, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:06:28.863, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:06:31.864, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:06:34.864, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:06:37.864, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:06:40.865, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:06:43.865, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:06:46.866, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:06:49.866, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:06:52.866, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:06:55.867, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:06:58.868, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:07:01.869, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:07:04.869, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:07:07.870, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:07:10.870, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:07:13.870, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:07:16.871, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:07:19.871, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:07:22.872, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:07:25.872, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:07:28.873, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:07:31.873, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:07:34.874, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:07:37.874, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:07:40.874, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:07:43.875, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:07:46.875, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:07:49.876, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:07:52.876, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:07:55.876, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:07:58.877, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:08:01.878, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:08:04.878, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:08:07.878, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:08:10.879, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:08:13.879, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:08:16.879, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:08:19.880, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:08:22.880, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:08:25.880, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:08:28.881, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:08:31.881, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:08:34.882, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:08:37.882, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:08:40.882, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:08:43.883, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:08:46.883, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:08:49.884, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:08:52.884, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:08:55.884, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:08:58.885, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:09:01.885, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:09:04.885, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:09:07.886, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:09:10.886, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:09:13.887, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:09:16.887, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:09:19.887, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:09:22.888, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:09:25.888, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:09:28.889, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:09:31.889, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:09:34.890, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:09:37.890, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:09:40.891, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:09:43.891, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:09:46.891, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/07 12:09:49.892, NVIDIA H200, 29, 0 %, 0 %, 603 MiB, 143771 MiB
2026/08/07 12:09:52.892, NVIDIA H200, 30, 12 %, 2 %, 905 MiB, 143771 MiB
2026/08/07 12:09:55.892, NVIDIA H200, 29, 0 %, 0 %, 783 MiB, 143771 MiB
2026/08/07 12:09:58.893, NVIDIA H200, 29, 0 %, 0 %, 789 MiB, 143771 MiB
2026/08/07 12:10:01.893, NVIDIA H200, 33, 0 %, 0 %, 45347 MiB, 143771 MiB
2026/08/07 12:10:04.972, NVIDIA H200, 40, 20 %, 7 %, 33223 MiB, 143771 MiB
2026/08/07 12:10:07.972, NVIDIA H200, 41, 100 %, 1 %, 70723 MiB, 143771 MiB
2026/08/07 12:10:10.973, NVIDIA H200, 32, 2 %, 1 %, 92325 MiB, 143771 MiB
2026/08/07 12:10:13.973, NVIDIA H200, 43, 100 %, 13 %, 106743 MiB, 143771 MiB
2026/08/07 12:10:16.973, NVIDIA H200, 39, 100 %, 2 %, 106743 MiB, 143771 MiB
2026/08/07 12:10:19.974, NVIDIA H200, 45, 89 %, 22 %, 110361 MiB, 143771 MiB
2026/08/07 12:10:22.974, NVIDIA H200, 41, 100 %, 8 %, 110361 MiB, 143771 MiB
2026/08/07 12:10:25.975, NVIDIA H200, 32, 100 %, 2 %, 110361 MiB, 143771 MiB
2026/08/07 12:10:28.975, NVIDIA H200, 39, 100 %, 5 %, 76145 MiB, 143771 MiB
2026/08/07 12:10:31.975, NVIDIA H200, 34, 100 %, 0 %, 79753 MiB, 143771 MiB
2026/08/07 12:10:34.976, NVIDIA H200, 44, 100 %, 12 %, 54989 MiB, 143771 MiB
2026/08/07 12:10:37.976, NVIDIA H200, 43, 100 %, 5 %, 34823 MiB, 143771 MiB
2026/08/07 12:10:40.977, NVIDIA H200, 39, 100 %, 2 %, 49229 MiB, 143771 MiB
2026/08/07 12:10:43.977, NVIDIA H200, 32, 100 %, 0 %, 49229 MiB, 143771 MiB
2026/08/07 12:10:46.977, NVIDIA H200, 33, 100 %, 0 %, 49229 MiB, 143771 MiB
2026/08/07 12:10:49.978, NVIDIA H200, 47, 99 %, 51 %, 125353 MiB, 143771 MiB
2026/08/07 12:10:52.978, NVIDIA H200, 46, 100 %, 52 %, 125353 MiB, 143771 MiB
2026/08/07 12:10:55.978, NVIDIA H200, 47, 100 %, 51 %, 125353 MiB, 143771 MiB
2026/08/07 12:10:58.979, NVIDIA H200, 49, 98 %, 38 %, 125353 MiB, 143771 MiB
2026/08/07 12:11:01.979, NVIDIA H200, 44, 100 %, 48 %, 125353 MiB, 143771 MiB
2026/08/07 12:11:04.980, NVIDIA H200, 47, 100 %, 53 %, 125353 MiB, 143771 MiB
2026/08/07 12:11:07.980, NVIDIA H200, 48, 100 %, 42 %, 125353 MiB, 143771 MiB
2026/08/07 12:11:10.981, NVIDIA H200, 50, 100 %, 41 %, 125353 MiB, 143771 MiB
2026/08/07 12:11:13.981, NVIDIA H200, 48, 100 %, 58 %, 125353 MiB, 143771 MiB
2026/08/07 12:11:16.982, NVIDIA H200, 47, 100 %, 26 %, 125353 MiB, 143771 MiB
2026/08/07 12:11:19.982, NVIDIA H200, 48, 100 %, 34 %, 125353 MiB, 143771 MiB
2026/08/07 12:11:22.983, NVIDIA H200, 47, 99 %, 59 %, 125353 MiB, 143771 MiB
2026/08/07 12:11:25.983, NVIDIA H200, 49, 100 %, 50 %, 125353 MiB, 143771 MiB
2026/08/07 12:11:28.983, NVIDIA H200, 48, 100 %, 56 %, 125353 MiB, 143771 MiB
2026/08/07 12:11:31.984, NVIDIA H200, 48, 99 %, 44 %, 125353 MiB, 143771 MiB
2026/08/07 12:11:34.984, NVIDIA H200, 47, 100 %, 41 %, 125353 MiB, 143771 MiB
2026/08/07 12:11:37.985, NVIDIA H200, 49, 100 %, 40 %, 125353 MiB, 143771 MiB
2026/08/07 12:11:40.985, NVIDIA H200, 49, 100 %, 43 %, 125353 MiB, 143771 MiB
2026/08/07 12:11:43.986, NVIDIA H200, 48, 100 %, 39 %, 125353 MiB, 143771 MiB
2026/08/07 12:11:46.986, NVIDIA H200, 48, 99 %, 48 %, 125353 MiB, 143771 MiB
2026/08/07 12:11:49.987, NVIDIA H200, 47, 100 %, 51 %, 125355 MiB, 143771 MiB
2026/08/07 12:11:52.987, NVIDIA H200, 46, 100 %, 50 %, 125355 MiB, 143771 MiB
2026/08/07 12:11:55.987, NVIDIA H200, 48, 99 %, 44 %, 125355 MiB, 143771 MiB
2026/08/07 12:11:58.988, NVIDIA H200, 49, 100 %, 51 %, 125355 MiB, 143771 MiB
2026/08/07 12:12:01.988, NVIDIA H200, 46, 100 %, 43 %, 125355 MiB, 143771 MiB
2026/08/07 12:12:04.988, NVIDIA H200, 47, 100 %, 41 %, 125355 MiB, 143771 MiB
2026/08/07 12:12:07.989, NVIDIA H200, 42, 100 %, 11 %, 27247 MiB, 143771 MiB
2026/08/07 12:12:10.989, NVIDIA H200, 35, 100 %, 1 %, 25503 MiB, 143771 MiB
2026/08/07 12:12:13.990, NVIDIA H200, 39, 48 %, 5 %, 13949 MiB, 143771 MiB
2026/08/07 12:12:16.990, NVIDIA H200, 33, 100 %, 0 %, 11799 MiB, 143771 MiB
2026/08/07 12:12:19.990, NVIDIA H200, 31, 0 %, 0 %, 8201 MiB, 143771 MiB
2026/08/07 12:12:22.991, NVIDIA H200, 43, 88 %, 45 %, 49607 MiB, 143771 MiB
2026/08/07 12:12:25.991, NVIDIA H200, 47, 44 %, 10 %, 8721 MiB, 143771 MiB
2026/08/07 12:12:28.991, NVIDIA H200, 33, 0 %, 0 %, 14381 MiB, 143771 MiB
2026/08/07 12:12:31.992, NVIDIA H200, 49, 100 %, 54 %, 125831 MiB, 143771 MiB
2026/08/07 12:12:34.992, NVIDIA H200, 48, 100 %, 39 %, 125831 MiB, 143771 MiB
2026/08/07 12:12:37.993, NVIDIA H200, 48, 99 %, 39 %, 125831 MiB, 143771 MiB
2026/08/07 12:12:40.993, NVIDIA H200, 47, 100 %, 50 %, 125831 MiB, 143771 MiB
2026/08/07 12:12:43.993, NVIDIA H200, 47, 100 %, 51 %, 125831 MiB, 143771 MiB
2026/08/07 12:12:46.994, NVIDIA H200, 48, 99 %, 39 %, 125831 MiB, 143771 MiB
2026/08/07 12:12:49.994, NVIDIA H200, 50, 100 %, 52 %, 125831 MiB, 143771 MiB
2026/08/07 12:12:52.994, NVIDIA H200, 46, 100 %, 41 %, 125831 MiB, 143771 MiB
