timestamp, name, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/08/07 13:25:28.266, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 13:25:31.269, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 13:25:34.270, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 13:25:37.270, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 13:25:40.271, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 13:25:43.272, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 13:25:46.272, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 13:25:49.273, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 13:25:52.275, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 13:25:55.275, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 13:25:58.276, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 13:26:01.277, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 13:26:04.277, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 13:26:07.278, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 13:26:10.278, NVIDIA H200, 25, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 13:26:13.279, NVIDIA H200, 26, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 13:26:16.280, NVIDIA H200, 25, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 13:26:19.280, NVIDIA H200, 24, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 13:26:22.281, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 13:26:25.281, NVIDIA H200, 23, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 13:26:28.282, NVIDIA H200, 25, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 13:26:31.282, NVIDIA H200, 26, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 13:26:34.283, NVIDIA H200, 26, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 13:26:37.284, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 13:26:40.284, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 13:26:43.285, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 13:26:46.285, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 13:26:49.286, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 13:26:52.286, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 13:26:55.287, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 13:26:58.287, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
