timestamp, name, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/08/12 02:43:59.146, NVIDIA L40S, 40, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/12 02:44:02.147, NVIDIA L40S, 39, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/12 02:44:05.147, NVIDIA L40S, 39, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/12 02:44:08.147, NVIDIA L40S, 38, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/12 02:44:11.148, NVIDIA L40S, 37, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/12 02:44:14.148, NVIDIA L40S, 37, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/12 02:44:17.149, NVIDIA L40S, 36, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/12 02:44:20.149, NVIDIA L40S, 36, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/12 02:44:23.149, NVIDIA L40S, 36, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/12 02:44:26.150, NVIDIA L40S, 35, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/12 02:44:29.150, NVIDIA L40S, 35, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/12 02:44:32.150, NVIDIA L40S, 35, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/12 02:44:35.151, NVIDIA L40S, 35, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/12 02:44:38.151, NVIDIA L40S, 34, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/12 02:44:41.152, NVIDIA L40S, 34, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/12 02:44:44.153, NVIDIA L40S, 34, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/12 02:44:47.153, NVIDIA L40S, 34, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/12 02:44:50.153, NVIDIA L40S, 34, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/12 02:44:53.154, NVIDIA L40S, 34, 0 %, 0 %, 0 MiB, 46068 MiB
