timestamp, name, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/08/05 20:43:06.545, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:43:09.549, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:43:12.549, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:43:15.550, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:43:18.550, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:43:21.551, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:43:24.552, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:43:27.552, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:43:30.553, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:43:33.554, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:43:36.554, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:43:39.555, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:43:42.555, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:43:45.556, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:43:48.557, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:43:51.558, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:43:54.558, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:43:57.559, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:44:00.560, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:44:03.561, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:44:06.561, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:44:09.562, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:44:12.563, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:44:15.563, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:44:18.564, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:44:21.564, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:44:24.565, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:44:27.565, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:44:30.568, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:44:33.568, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:44:36.569, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:44:39.570, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:44:42.570, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:44:45.570, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:44:48.573, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:44:51.573, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:44:54.574, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:44:57.575, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:45:00.577, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:45:03.577, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:45:06.578, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:45:09.579, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:45:12.579, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:45:15.580, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:45:18.580, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:45:21.581, NVIDIA H200, 20, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 20:45:24.582, NVIDIA H200, 22, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 20:45:27.582, NVIDIA H200, 22, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 20:45:30.583, NVIDIA H200, 22, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 20:45:33.583, NVIDIA H200, 22, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 20:45:36.584, NVIDIA H200, 22, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 20:45:39.585, NVIDIA H200, 22, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 20:45:42.585, NVIDIA H200, 22, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 20:45:45.586, NVIDIA H200, 22, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 20:45:48.587, NVIDIA H200, 22, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 20:45:51.587, NVIDIA H200, 22, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 20:45:54.588, NVIDIA H200, 22, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 20:45:57.588, NVIDIA H200, 22, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 20:46:00.589, NVIDIA H200, 22, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 20:46:03.592, NVIDIA H200, 22, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 20:46:06.593, NVIDIA H200, 22, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 20:46:09.594, NVIDIA H200, 22, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 20:46:12.594, NVIDIA H200, 22, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 20:46:15.595, NVIDIA H200, 22, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 20:46:18.595, NVIDIA H200, 22, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 20:46:21.596, NVIDIA H200, 22, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 20:46:24.596, NVIDIA H200, 22, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 20:46:27.597, NVIDIA H200, 22, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 20:46:30.597, NVIDIA H200, 22, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 20:46:33.598, NVIDIA H200, 22, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 20:46:36.598, NVIDIA H200, 22, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 20:46:39.599, NVIDIA H200, 22, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 20:46:42.599, NVIDIA H200, 22, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 20:46:45.600, NVIDIA H200, 22, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 20:46:48.600, NVIDIA H200, 22, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 20:46:51.601, NVIDIA H200, 22, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 20:46:54.602, NVIDIA H200, 22, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 20:46:57.602, NVIDIA H200, 22, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 20:47:00.603, NVIDIA H200, 22, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 20:47:03.603, NVIDIA H200, 22, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 20:47:06.604, NVIDIA H200, 22, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 20:47:09.604, NVIDIA H200, 22, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 20:47:12.605, NVIDIA H200, 22, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 20:47:15.605, NVIDIA H200, 22, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 20:47:18.606, NVIDIA H200, 22, 0 %, 0 %, 529 MiB, 143771 MiB
