timestamp, name, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/08/05 17:13:07.671, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 17:13:10.685, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 17:13:13.685, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 17:13:16.686, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 17:13:19.686, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 17:13:22.687, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 17:13:25.687, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 17:13:28.688, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 17:13:31.688, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 17:13:34.688, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 17:13:37.689, NVIDIA H200, 26, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 17:13:40.689, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 17:13:43.690, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 17:13:46.690, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 17:13:49.690, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 17:13:52.691, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 17:13:55.691, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 17:13:58.692, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 17:14:01.692, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 17:14:04.692, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 17:14:07.693, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 17:14:10.693, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 17:14:13.694, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 17:14:16.694, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 17:14:19.695, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 17:14:22.695, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 17:14:25.696, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 17:14:28.696, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 17:14:31.697, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 17:14:34.698, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 17:14:37.698, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 17:14:40.698, NVIDIA H200, 26, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 17:14:43.699, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 17:14:46.700, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 17:14:49.701, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 17:14:52.701, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 17:14:55.701, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 17:14:58.702, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 17:15:01.702, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 17:15:04.702, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 17:15:07.703, NVIDIA H200, 28, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 17:15:10.703, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 17:15:13.704, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 17:15:16.704, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 17:15:19.705, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 17:15:22.706, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 17:15:25.706, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 17:15:28.707, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 17:15:31.707, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 17:15:34.708, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 17:15:37.708, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 17:15:40.709, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 17:15:43.709, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 17:15:46.710, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 17:15:49.710, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 17:15:52.711, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 17:15:55.711, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 17:15:58.712, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 17:16:01.712, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 17:16:04.713, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 17:16:07.713, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 17:16:10.713, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 17:16:13.714, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 17:16:16.714, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 17:16:19.715, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 17:16:22.715, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 17:16:25.716, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 17:16:28.717, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 17:16:31.717, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 17:16:34.718, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 17:16:37.718, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 17:16:40.718, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 17:16:43.719, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
