timestamp, name, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/08/05 16:23:13.887, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:23:16.889, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:23:19.890, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:23:22.890, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:23:25.891, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:23:28.891, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:23:31.892, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:23:34.892, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:23:37.893, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:23:40.894, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:23:43.894, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:23:46.896, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:23:49.897, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:23:52.897, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:23:55.898, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:23:58.899, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:24:01.899, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:24:04.899, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:24:07.900, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:24:10.901, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:24:13.901, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:24:16.903, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:24:19.903, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:24:22.904, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:24:25.905, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:24:28.905, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:24:31.906, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:24:34.906, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:24:37.907, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:24:40.907, NVIDIA H200, 28, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:24:43.908, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:24:46.908, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:24:49.909, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:24:52.909, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:24:55.910, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:24:58.910, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:25:01.911, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:25:04.911, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:25:07.912, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:25:10.913, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:25:13.913, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:25:16.914, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:25:19.914, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:25:22.914, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/05 16:25:25.915, NVIDIA H200, 27, 0 %, 0 %, 1 MiB, 143771 MiB
2026/08/05 16:25:28.915, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 16:25:31.916, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 16:25:34.918, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 16:25:37.918, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 16:25:40.918, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 16:25:43.919, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 16:25:46.920, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 16:25:49.920, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 16:25:52.921, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 16:25:55.921, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 16:25:58.921, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 16:26:01.922, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 16:26:04.923, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 16:26:07.923, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 16:26:10.924, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 16:26:13.924, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 16:26:16.925, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 16:26:19.925, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 16:26:22.926, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 16:26:25.926, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 16:26:28.928, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
2026/08/05 16:26:31.928, NVIDIA H200, 29, 0 %, 0 %, 529 MiB, 143771 MiB
