timestamp, name, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/08/07 22:10:20.715, NVIDIA L40S, 38, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/07 22:10:23.716, NVIDIA L40S, 37, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/07 22:10:26.717, NVIDIA L40S, 37, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/07 22:10:29.717, NVIDIA L40S, 36, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/07 22:10:32.718, NVIDIA L40S, 36, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/07 22:10:35.718, NVIDIA L40S, 35, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/07 22:10:38.719, NVIDIA L40S, 35, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/07 22:10:41.719, NVIDIA L40S, 35, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/07 22:10:44.720, NVIDIA L40S, 34, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/07 22:10:47.720, NVIDIA L40S, 34, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/07 22:10:50.721, NVIDIA L40S, 34, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/07 22:10:53.721, NVIDIA L40S, 33, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/07 22:10:56.722, NVIDIA L40S, 33, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/07 22:10:59.722, NVIDIA L40S, 33, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/07 22:11:02.723, NVIDIA L40S, 33, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/07 22:11:05.723, NVIDIA L40S, 32, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/07 22:11:08.724, NVIDIA L40S, 32, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/07 22:11:11.724, NVIDIA L40S, 32, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/07 22:11:14.725, NVIDIA L40S, 32, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/07 22:11:17.725, NVIDIA L40S, 32, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/07 22:11:20.726, NVIDIA L40S, 32, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/07 22:11:23.726, NVIDIA L40S, 31, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/07 22:11:26.727, NVIDIA L40S, 31, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/07 22:11:29.727, NVIDIA L40S, 31, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/07 22:11:32.728, NVIDIA L40S, 31, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/07 22:11:35.728, NVIDIA L40S, 31, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/07 22:11:38.729, NVIDIA L40S, 31, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/07 22:11:41.729, NVIDIA L40S, 31, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/07 22:11:44.730, NVIDIA L40S, 30, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/07 22:11:47.730, NVIDIA L40S, 30, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/07 22:11:50.731, NVIDIA L40S, 30, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/07 22:11:53.731, NVIDIA L40S, 30, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/07 22:11:56.732, NVIDIA L40S, 30, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/07 22:11:59.732, NVIDIA L40S, 30, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/07 22:12:02.733, NVIDIA L40S, 30, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/07 22:12:05.733, NVIDIA L40S, 30, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/07 22:12:08.734, NVIDIA L40S, 30, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/07 22:12:11.734, NVIDIA L40S, 30, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/07 22:12:14.735, NVIDIA L40S, 29, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/07 22:12:17.735, NVIDIA L40S, 29, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/07 22:12:20.736, NVIDIA L40S, 31, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:12:23.736, NVIDIA L40S, 32, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:12:26.736, NVIDIA L40S, 32, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:12:29.737, NVIDIA L40S, 33, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:12:32.737, NVIDIA L40S, 33, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:12:35.738, NVIDIA L40S, 33, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:12:38.738, NVIDIA L40S, 33, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:12:41.739, NVIDIA L40S, 33, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:12:44.739, NVIDIA L40S, 34, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:12:47.740, NVIDIA L40S, 34, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:12:50.740, NVIDIA L40S, 34, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:12:53.741, NVIDIA L40S, 34, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:12:56.741, NVIDIA L40S, 34, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:12:59.742, NVIDIA L40S, 34, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:13:02.742, NVIDIA L40S, 34, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:13:05.743, NVIDIA L40S, 35, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:13:08.744, NVIDIA L40S, 35, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:13:11.744, NVIDIA L40S, 35, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:13:14.744, NVIDIA L40S, 35, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:13:17.745, NVIDIA L40S, 35, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:13:20.745, NVIDIA L40S, 35, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:13:23.746, NVIDIA L40S, 35, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:13:26.746, NVIDIA L40S, 35, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:13:29.746, NVIDIA L40S, 35, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:13:32.747, NVIDIA L40S, 35, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:13:35.747, NVIDIA L40S, 35, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:13:38.748, NVIDIA L40S, 35, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:13:41.748, NVIDIA L40S, 35, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:13:44.749, NVIDIA L40S, 35, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:13:47.749, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:13:50.750, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:13:53.750, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:13:56.751, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:13:59.752, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:14:02.752, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:14:05.753, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:14:08.754, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:14:11.754, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:14:14.755, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:14:17.756, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:14:20.757, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:14:23.757, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:14:26.757, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:14:29.758, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:14:32.758, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:14:35.759, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:14:38.760, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:14:41.760, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:14:44.761, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:14:47.762, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:14:50.762, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:14:53.763, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:14:56.763, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:14:59.764, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:15:02.765, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:15:05.766, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:15:08.766, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:15:11.767, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:15:14.767, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:15:17.767, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:15:20.768, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:15:23.769, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:15:26.770, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:15:29.770, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:15:32.771, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:15:35.771, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:15:38.772, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:15:41.772, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:15:44.773, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:15:47.773, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:15:50.773, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:15:53.774, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:15:56.775, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:15:59.775, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:16:02.775, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:16:05.776, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:16:08.776, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/07 22:16:11.777, NVIDIA L40S, 36, 0 %, 0 %, 505 MiB, 46068 MiB
2026/08/07 22:16:14.777, NVIDIA L40S, 37, 0 %, 0 %, 659 MiB, 46068 MiB
2026/08/07 22:16:17.778, NVIDIA L40S, 36, 0 %, 0 %, 2389 MiB, 46068 MiB
2026/08/07 22:16:20.778, NVIDIA L40S, 42, 27 %, 13 %, 10981 MiB, 46068 MiB
2026/08/07 22:16:23.779, NVIDIA L40S, 41, 99 %, 6 %, 13183 MiB, 46068 MiB
2026/08/07 22:16:26.779, NVIDIA L40S, 42, 100 %, 10 %, 31349 MiB, 46068 MiB
2026/08/07 22:16:29.780, NVIDIA L40S, 48, 100 %, 82 %, 37387 MiB, 46068 MiB
2026/08/07 22:16:32.780, NVIDIA L40S, 53, 100 %, 14 %, 38559 MiB, 46068 MiB
2026/08/07 22:16:35.780, NVIDIA L40S, 46, 97 %, 56 %, 37959 MiB, 46068 MiB
2026/08/07 22:16:38.781, NVIDIA L40S, 56, 100 %, 5 %, 27789 MiB, 46068 MiB
2026/08/07 22:16:41.781, NVIDIA L40S, 54, 100 %, 24 %, 21495 MiB, 46068 MiB
2026/08/07 22:16:44.781, NVIDIA L40S, 56, 100 %, 51 %, 18139 MiB, 46068 MiB
2026/08/07 22:16:47.782, NVIDIA L40S, 47, 0 %, 0 %, 31751 MiB, 46068 MiB
2026/08/07 22:16:50.782, NVIDIA L40S, 50, 100 %, 95 %, 36555 MiB, 46068 MiB
2026/08/07 22:16:53.782, NVIDIA L40S, 52, 100 %, 89 %, 36555 MiB, 46068 MiB
2026/08/07 22:16:56.783, NVIDIA L40S, 52, 100 %, 81 %, 36555 MiB, 46068 MiB
2026/08/07 22:16:59.783, NVIDIA L40S, 55, 100 %, 77 %, 36555 MiB, 46068 MiB
2026/08/07 22:17:02.783, NVIDIA L40S, 56, 100 %, 100 %, 36555 MiB, 46068 MiB
2026/08/07 22:17:05.784, NVIDIA L40S, 54, 99 %, 93 %, 36555 MiB, 46068 MiB
2026/08/07 22:17:08.784, NVIDIA L40S, 54, 100 %, 76 %, 36555 MiB, 46068 MiB
