timestamp, name, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/08/07 19:32:15.088, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 19:32:18.091, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 19:32:21.091, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 19:32:24.092, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 19:32:27.093, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 19:32:30.094, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 19:32:33.095, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 19:32:36.095, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 19:32:39.096, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 19:32:42.096, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 19:32:45.097, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 19:32:48.097, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 19:32:51.097, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 19:32:54.098, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 19:32:57.098, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 19:33:00.099, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 19:33:03.099, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 19:33:06.099, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 19:33:09.100, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 19:33:12.100, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 19:33:15.101, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 19:33:18.102, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
2026/08/07 19:33:21.102, NVIDIA H200, 27, 0 %, 0 %, 0 MiB, 143771 MiB
