timestamp, name, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/08/08 02:19:38.912, NVIDIA L40S, 39, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/08 02:19:41.913, NVIDIA L40S, 38, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/08 02:19:44.914, NVIDIA L40S, 37, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/08 02:19:47.914, NVIDIA L40S, 36, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/08 02:19:50.914, NVIDIA L40S, 36, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/08 02:19:53.915, NVIDIA L40S, 35, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/08 02:19:56.915, NVIDIA L40S, 35, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/08 02:19:59.916, NVIDIA L40S, 35, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/08 02:20:02.916, NVIDIA L40S, 34, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/08 02:20:05.916, NVIDIA L40S, 34, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/08 02:20:08.916, NVIDIA L40S, 34, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/08 02:20:11.917, NVIDIA L40S, 34, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/08 02:20:14.917, NVIDIA L40S, 33, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/08 02:20:17.917, NVIDIA L40S, 33, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/08 02:20:20.918, NVIDIA L40S, 33, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/08 02:20:23.918, NVIDIA L40S, 33, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/08 02:20:26.918, NVIDIA L40S, 33, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/08 02:20:29.919, NVIDIA L40S, 32, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/08 02:20:32.919, NVIDIA L40S, 32, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/08 02:20:35.919, NVIDIA L40S, 32, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/08 02:20:38.920, NVIDIA L40S, 32, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/08 02:20:41.920, NVIDIA L40S, 32, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/08 02:20:44.920, NVIDIA L40S, 32, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/08 02:20:47.921, NVIDIA L40S, 31, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/08 02:20:50.921, NVIDIA L40S, 31, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/08 02:20:53.921, NVIDIA L40S, 31, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/08 02:20:56.922, NVIDIA L40S, 31, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/08 02:20:59.922, NVIDIA L40S, 31, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/08 02:21:02.923, NVIDIA L40S, 31, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/08 02:21:05.923, NVIDIA L40S, 31, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/08 02:21:08.924, NVIDIA L40S, 31, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/08 02:21:11.924, NVIDIA L40S, 31, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/08 02:21:14.924, NVIDIA L40S, 31, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/08 02:21:17.925, NVIDIA L40S, 30, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/08 02:21:20.925, NVIDIA L40S, 30, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/08 02:21:23.925, NVIDIA L40S, 30, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/08 02:21:26.926, NVIDIA L40S, 30, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/08 02:21:29.926, NVIDIA L40S, 30, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/08 02:21:32.926, NVIDIA L40S, 30, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/08 02:21:35.927, NVIDIA L40S, 30, 0 %, 0 %, 0 MiB, 46068 MiB
2026/08/08 02:21:38.927, NVIDIA L40S, 32, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/08 02:21:41.927, NVIDIA L40S, 33, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/08 02:21:44.927, NVIDIA L40S, 34, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/08 02:21:47.928, NVIDIA L40S, 34, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/08 02:21:50.928, NVIDIA L40S, 35, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/08 02:21:53.929, NVIDIA L40S, 35, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/08 02:21:56.929, NVIDIA L40S, 35, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/08 02:21:59.930, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/08 02:22:02.931, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/08 02:22:05.931, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/08 02:22:08.932, NVIDIA L40S, 36, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/08 02:22:11.932, NVIDIA L40S, 37, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/08 02:22:14.932, NVIDIA L40S, 37, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/08 02:22:17.933, NVIDIA L40S, 37, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/08 02:22:20.933, NVIDIA L40S, 37, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/08 02:22:23.934, NVIDIA L40S, 37, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/08 02:22:26.934, NVIDIA L40S, 38, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/08 02:22:29.934, NVIDIA L40S, 38, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/08 02:22:32.935, NVIDIA L40S, 38, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/08 02:22:35.935, NVIDIA L40S, 38, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/08 02:22:38.936, NVIDIA L40S, 38, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/08 02:22:41.936, NVIDIA L40S, 38, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/08 02:22:44.936, NVIDIA L40S, 39, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/08 02:22:47.937, NVIDIA L40S, 39, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/08 02:22:50.937, NVIDIA L40S, 39, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/08 02:22:53.938, NVIDIA L40S, 39, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/08 02:22:56.938, NVIDIA L40S, 39, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/08 02:22:59.939, NVIDIA L40S, 39, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/08 02:23:02.939, NVIDIA L40S, 39, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/08 02:23:05.939, NVIDIA L40S, 39, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/08 02:23:08.940, NVIDIA L40S, 39, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/08 02:23:11.940, NVIDIA L40S, 39, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/08 02:23:14.941, NVIDIA L40S, 39, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/08 02:23:17.941, NVIDIA L40S, 39, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/08 02:23:20.942, NVIDIA L40S, 40, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/08 02:23:23.942, NVIDIA L40S, 40, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/08 02:23:26.942, NVIDIA L40S, 40, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/08 02:23:29.943, NVIDIA L40S, 40, 0 %, 0 %, 437 MiB, 46068 MiB
2026/08/08 02:23:32.943, NVIDIA L40S, 40, 0 %, 0 %, 437 MiB, 46068 MiB
